REGISTRATION,aircraft_type,ON BLOCK,OFF BLOCK,parking_stand,FROM,TO,ARR,DEP,operator_airline,category,aircraft_size,airline_tier,stand_zone,IS_SYNTHETIC,TYPE,OPERATOR / AIRLINES,CATEGORY,PARKING STAND
PK-LUR,A 320,17:49,19:43,B8,WARR,WIPP,ID 7512,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUG,A 320,8:16,9:32,A3,WIBB,WAHQ,ID 7066,ID 7041,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUT,A 320,14:35,15:30,A2,WARA,WIEE,ID 7582,ID 7109,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-354,,,,,,,,,,,,,,True,ATR42,CITILINK,COMMERCIAL,A3
PK-LAM,A 320,16:18,19:15,A3,WARR,WIBB,ID 7514,ID 7065,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-YSH,B 733,17:13,20:13,B9,WIDN,WAAA,IL 718,IL 723,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUU,A 320,21:30,,B5,WARR,,ID 7518,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BLB,A 320,13:13,13:58,A2,WARR,WARR,ID 7520,ID 7501,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-175,,,,,,,,,,,,,,True,A321,SUSI AIR,COMMERCIAL,A0
SYNTH-261,,,,,,,,,,,,,,True,CL604,JETSET,CHARTER,B7
PK-GJT,ATR 72,16:21,,B1,WAHH,,QG 1105,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-218,,,,,,,,,,,,,,True,A320,SUSI AIR,COMMERCIAL,A1
N-777ZH,G VI,9:55,10:20,B3,WAMP,RE03,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-VVM,C 208,15:04,15:33,A0,WICN,WICN,SI 205,SI 204,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-FJA,ATR 72,11:55,12:39,B2,WAHH,WAHH,KS 103,KS 104,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUK,A 320,15:57,16:42,B1,WAHS,WIMM,ID 7556,ID 7011,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-464,,,,,,,,,,,,,,True,B733,BBN,CARGO,B7
PK-BON,G IV,12:14,12:55,B4,WARR,WADD,CEO 54,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BON,G IV,09;07,11:06,B8,RW11,WADD,,CJS 54,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-24,,,,,,,,,,,,,,True,B733,TRI MG,CARGO,B13
PK-PJJ,RJ 85,9:22,10:35,A2,RW05,WIHP,,,SETNEG,CHARTER,STANDARD,LOW_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-HKG,PH 300,14:59,17:29,B3,,WSSL,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BKT,A 320,13:42,16:25,B7,WADD,WARR,ID 7308,ID 7501,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-NMI,B 733,15:10,16:51,B10,WAAA,WIOO,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-BMB,EMB 135,13:38,16:51,B5,WAHH,HGR,,,PTN,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-977,G IV,21:12,,B4,SA05,,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-91,,,,,,,,,,,,,,True,DC10,JAYAWIJAYA,CARGO,B13
N-11UB,GLEX,15:13,16:12,B8,WSSL,SA08,,,PTN,CHARTER,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
T7-808,G VI,5:44,6:49,B4,HGR,WSSL,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUQ,A 320,18:12,19:01,B6,WAHS,WIBB,ID 7558,ID 7065,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BBJ,B 734,13:10,,B12,WAOO,,0B 5272,,B. B. N.,CHARTER,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-SUSI-143,,,,,,,,,,,,,,True,C182,SUSI AIR,COMMERCIAL,A1
PK-MGZ,B 733,5:23,6:02,B10,WSSS,WALL,GM 019,GM 061,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-199,,,,,,,,,,,,,,True,B733,TAS,CHARTER,B5
SYNTH-377,,,,,,,,,,,,,,True,ATR72,FLY JAYA,COMMERCIAL,A3
PK-LUK,A 320,13:21,14:25,A3,WARR,WIMM,ID 7520,ID 7011,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-82,,,,,,,,,,,,,,True,MD11,BBN,CARGO,B13
PK-GQE,A 320,14:25,15:11,B2,WIPP,WARR,QG 0089,QG 0174,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAT,A 320,10:52,12:28,B8,WARA,WARR,ID 7580,ID 7515,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUT,A 320,15:33,16:12,A3,WARA,WIEE,ID 7582,ID 7109,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GJV,ATR 72,8:59,9:38,B2,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-237,,,,,,,,,,,,,,True,B733,JIP,CHARTER,B6
PK-LUY,A 320,15:57,17:40,B2,WARR,WAHI,ID 7514,ID 7541,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUW,A 320,14:50,15:37,A2,WAHQ,WAHS,ID 7532,ID 7559,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-141,,,,,,,,,,,,,,True,G IV,PTN,CHARTER,B4
N-308KB,G 280,12:56,13:30,B3,WMSA,WILL,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-126,,,,,,,,,,,,,,True,G IV,TRAVIRA,CHARTER,B4
PK-GGC,B 735,23:50,,B10,SA14,,,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-183,,,,,,,,,,,,,,True,CL604,PTN,CHARTER,B5
PK-GJV,ATR 72,9:07,9:41,B5,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BKT,A 320,7:46,8:41,B1,WIBB,WARR,ID 7066,ID 7513,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-RSS,EMB 135,17:39,18:07,B4,WAHQ,SA20,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-670,,,,,,,,,,,,,,True,A321,FLY JAYA,COMMERCIAL,B7
PK-BON,G IV,18:43,19:35,B6,WADD,RE04,,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-VVO,C 208,13:50,14:32,A2,WICC,WICN,SI 231,SI 234,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-MRC,EMB 135,17:46,18:58,B5,WAGI,RW09,,,BGS,CHARTER,STANDARD,LOW_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-VVO,C 208,7:46,8:18,A0,WICN,WICN,SI 235,SI 234,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-701,,,,,,,,,,,,,,True,A320,PELITA,COMMERCIAL,B12
PK-GJV,ATR 72,9:39,10:23,B6,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUF,A 320,18:40,22:40,B7,WIMM,SA03,ID 7010,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-9,,,,,,,,,,,,,,True,B733,JETSET,CHARTER,B3
PK-KAS,CL 850,22:20,23:24,B4,YPPH,SA16,,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GMA,B 738,21:28,,B2,WADD,,GA 0463,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-89,,,,,,,,,,,,,,True,CL850,JIP,CHARTER,B3
SYNTH-192,,,,,,,,,,,,,,True,B733,AIRNESIA,CARGO,B12
PK-LUS,A 320,10:26,11:11,B1,WARA,WARA,ID 7580,ID 7583,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-132,,,,,,,,,,,,,,True,CL850,BIOMANTARA,CHARTER,B4
SYNTH-129,,,,,,,,,,,,,,True,CL850,PTN,CHARTER,B4
PK-GJT,ATR 72,12:50,13:19,B4,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-FJA,ATR 72,15:05,15:48,B2,WAHH,WAHH,KS 105,KS 106,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-CAA,CT 700,5:25,6:38,B5,WIRR,WADD,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-282,,,,,,,,,,,,,,True,CRV,TRI MG,CARGO,B11
PK-BKY,A 320,13:58,14:48,A2,WADD,WIEE,ID 7308,ID 7109,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-CEO,HK 800,19:45,,A1,B5,,,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUT,A 320,-,9:00,B6,EX RON,WAHS,-,ID 7559,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUS,A 320,11:45,12:33,A1,WAHI,WARR,ID 7540,ID 7515,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUG,A 320,16:12,17:03,B1,WAHI,WIPP,ID 7538,ID 7059,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-HKG,PH 300,21:44,22:06,B3,WADD,HGR,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUQ,A 320,14:10,14:49,A2,WAHQ,WAHS,ID 7532,ID 7559,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
VP-CLL,EMB 135,19:05,19:45,B4,WITC,SA17,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-NMI,B 733,4:13,7:01,B10,WAAA,WIOO,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GQA,A 320,14:44,16:13,B2,WAHI,WIMM,QG 0103,QG 0022,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUZ,A 320,18:38,19:35,B1,WARR,WARR,ID 7512,ID 7519,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKY,A 320,16:47,19:26,B6,WIPP,WIBB,ID 7052,ID 7065,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAJ,A 320,8:49,9:41,B1,WARR,WARR,ID 7510,ID 7517,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-29,,,,,,,,,,,,,,True,CL850,GAPURA,CHARTER,B3
PK-YST,B 733,6:02,7:25,B12,WAAA,WAGG,IL 722,IL 711,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-YSH,B 733,9:54,15:08,B13,,WAGG,IL 7141,IL 713,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-BVX,AVANTI,5:42,6:48,B6,NSA13,WBGG,,,SUSI AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUJ,A 320,10:12,11:03,A2,WIPP,WAHS,ID 7054,ID 7557,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKY,A 320,15:47,16:31,A3,WADD,WADD,ID 7308,ID 7311,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-35,,,,,,,,,,,,,,True,A321,CITILINK,COMMERCIAL,B1
PK-LAL,A 320,15:33,16:14,B1,WARA,WADD,ID 7582,ID 7311,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAW,A 320,20:02,21:08,B9,WIMM,SA13,ID 7010,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-88,,,,,,,,,,,,,,True,G IV,JIP,CHARTER,B3
PK-LZH,A 320,20:45,21:30,A1,WADD,WIBB,ID 7310,ID 7065,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GQA,A 320,16:06,16:47,B1,WARA,WARR,QG 0165,QG 0172,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GNC,B 738,12:27,13:26,B1,WIMM,WARR,GA 0181,GA 0330,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUG,A 320,11:55,12:46,A2,WARR,WIPP,ID 7516,ID 7051,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUQ,A 320,10:37,11:15,A1,WIPP,WAHQ,ID 7054,ID 7531,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUK,A 320,19:30,9:19,B7,WIMM,,ID 7010,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-475,,,,,,,,,,,,,,True,ATR42,SUSI AIR,COMMERCIAL,A3
T7-ISZ,G IV,9:56,11:50,B7,WIII,SA08,,,PTN,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-207,,,,,,,,,,,,,,True,MD11,CITILINK CARGO,CARGO,B12
PK-GLX,A 320,17:21,17:59,B1,WADD,WADD,QG 0195,QG 0194,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GJT,ATR 72,13:40,14:32,B1,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-262,,,,,,,,,,,,,,True,MD11,B.B.N AIRLINES,CARGO,B11
PK-LUV,A 320,18:21,19:19,B1,WIEE,WARR,ID 7108,ID 7521,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-YST,B 733,12:35,14:15,B13,WAAA,WAMM,IL 722,IL 729,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-BKY,A 320,16:04,17:06,B2,WIPP,WADD,ID 7052,ID 7311,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-73,,,,,,,,,,,,,,True,ATR42,PELITA,COMMERCIAL,A1
SYNTH-116,,,,,,,,,,,,,,True,B733,TRI MG,CARGO,B13
PK-VVF,C 208,13:28,13:57,A0,WICC,WICN,SI 231,SI 234,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-ARN,G VI,12:23,12:57,B2,WAGI,RE05,DWC009,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-211,,,,,,,,,,,,,,True,C404,JIP,CHARTER,B5
SYNTH-172,,,,,,,,,,,,,,True,B733,B.B.N AIRLINES,CARGO,B12
PK-GLV,A 320,9:11,10:49,B2,WARR,WAHI,QG 0175,QG 0102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-YSH,B 733,9:46,13:23,B12,WAGG,WAOO,IL 714,IL 725,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-BLA,A 320,17:48,,B9,WIMM,,ID 7010,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-118,,,,,,,,,,,,,,True,CL850,JETSET,CHARTER,B4
SYNTH-181,,,,,,,,,,,,,,True,B733,JETSET,CHARTER,B5
PK-LZH,A 320,19:52,,A2,WARR,,ID 7502,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAF,A 320,11:52,12:37,B5,WAHQ,WAHI,ID 7040,ID 7539,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-201,,,,,,,,,,,,,,True,CL604,TRAVIRA,CHARTER,B5
SYNTH-207,,,,,,,,,,,,,,True,MD11,TRI MG,CARGO,B12
SYNTH-201,,,,,,,,,,,,,,True,B742,CITILINK CARGO,CARGO,B12
PK-GQL,A 320,12:47,13:28,B1,WIMN,WARA,QG 0021,QG 0164,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUG,A 320,14:37,15:22,A2,WAHQ,WAHS,ID 7532,ID 7559,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-535,,,,,,,,,,,,,,True,MD11,AIRNESIA,CARGO,A1
PK-YSH,B 733,18:22,20:55,B11,WALL,WAAA,IL 728,IL 723,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-FJA,ATR 72,13:23,14:18,B1,WAHH,WAHH,KS 105,KS 106,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GGC,B 735,19:08,,B13,WAGG,,QG 7453,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-KAS,CL 850,3:35,5:37,B7,SA07,WMSA,,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-NMI,B 733,15:20,17:07,B10,WAAA,WAOO,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-YSH,B 733,7:18,9:23,B12,WAAA,WAOO,IL 722,IL 725,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-KAS,CL 850,2:11,4:16,B6,SA05,WSSL,,CEO 31,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-MEL,GLEX,16:38,17:29,B3,WSSL,HGR,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BLA,A 320,8:50,9:29,B1,WARR,WARR,ID 7510,ID 7517,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-777,BBJ,20:50,,B4,WSSL,,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-KAS,CL 850,7:59,9:46,B5,SA03,WADD,,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-YST,B 733,5:08,7:08,B9,WIMM,WIOO,IL 702,IL 741,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-BKU,A 320,18:01,18:50,B7,WARR,WALL,ID 7512,ID 7271,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-39,,,,,,,,,,,,,,True,ATR42,GARUDA,COMMERCIAL,B2
SYNTH-364,,,,,,,,,,,,,,True,B733,TRAVIRA,CHARTER,B13
PK-GTD,A 320,14:29,,B2,WIPP,WARR,QG 0089,QG 0174,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-264,,,,,,,,,,,,,,True,ATR72,CITILINK,COMMERCIAL,B2
PK-GQL,A 320,21:00,,B2,WARR,,QG 0173,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-91,,,,,,,,,,,,,,True,B350,JETSET,CHARTER,B3
T7-MPI,EMB 135,16:47,17:13,B4,WATK,RW10,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-565,,,,,,,,,,,,,,True,B737,CITILINK,COMMERCIAL,A1
PK-GLS,A 320,16:21,16:57,B1,WARA,WARR,QG 0165,QG 0172,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-400,,,,,,,,,,,,,,True,B742,CITILINK CARGO,CARGO,B9
PK-GQL,A 320,12:56,13:24,B3,WIMN,WARA,QG 0021,QG 0164,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-FJA,ATR 72,15:11,15:40,B2,WAHH,WAHH,KS 105,KS 106,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GQI,A 320,11:39,12:31,A3,WIMN,WARA,QG 0021,QG 0164,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-655,,,,,,,,,,,,,,True,B738,BATIK AIR,COMMERCIAL,B9
PK-LUQ,A 320,18:14,18:24,A3,WIEE,WARR,ID 7108,ID 7521,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUS,A 320,19:54,,A1,WIMM,,ID 7010,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
VP-CTC,G 7500,18:20,18:52,B3,WAAA,HGR,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-YSH,B 733,12:53,16:35,B12,WIRR,WIDN,,IL 717,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
08-5692,C130J,12:35,,A2,RPLC,,TREK 976,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-NMI,B 733,21:26,22:28,B13,WAOO,WIMM,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-YST,B 733,14:33,17:14,B12,WAOO,WIOO,IL 726,IL 741,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
VH-8PO,KING AIR,18:08,19:46,B7,WIMM,NSA10,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-NMI,B 733,13:18,15:38,B13,WAOO,WAGG,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-680,,,,,,,,,,,,,,True,ATR72,SUSI AIR,COMMERCIAL,B6
PK-BBJ,B 734,9:01,,B12,WAAA,,0B 5024,,B. B. N.,CHARTER,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
PK-GJV,ATR 72,9:25,9:57,A3,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
N-2409K,HK 800,6:01,9:31,B5,NSA12,B4,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-149,,,,,,,,,,,,,,True,C404,PREMI,CHARTER,B4
SYNTH-458,,,,,,,,,,,,,,True,ATR42,PELITA,COMMERCIAL,B1
SYNTH-624,,,,,,,,,,,,,,True,ATR72,BATIK AIR,COMMERCIAL,B2
SYNTH-335,,,,,,,,,,,,,,True,A321,SUSI AIR,COMMERCIAL,A1
SYNTH-303,,,,,,,,,,,,,,True,A321,CITILINK,COMMERCIAL,B2
T7-HKG,PH 300,6:05,,A1,RW05,,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-216,,,,,,,,,,,,,,True,ATR72,FLY JAYA,COMMERCIAL,B2
SYNTH-493,,,,,,,,,,,,,,True,A320,BATIK AIR,COMMERCIAL,B1
SYNTH-277,,,,,,,,,,,,,,True,CL604,TRAVIRA,CHARTER,B7
SYNTH-350,,,,,,,,,,,,,,True,B733,BBN,CARGO,B10
SYNTH-55,,,,,,,,,,,,,,True,G IV,GAPURA,CHARTER,B3
SYNTH-27,,,,,,,,,,,,,,True,MD11,JAYAWIJAYA,CARGO,B13
SYNTH-189,,,,,,,,,,,,,,True,ATR42,PELITA,COMMERCIAL,A1
